127.0.0.1 - - [13/Jun/2021:16:46:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:46:45 +0900] "GET /JSPBook/FinalProject/festival1.jsp HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:46:45 +0900] "GET /JSPBook/FinalProject/map1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:46:45 +0900] "GET /JSPBook/FinalProject/map2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:46:45 +0900] "GET /JSPBook/FinalProject/map3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:46:45 +0900] "GET /JSPBook/FinalProject/map7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:46:45 +0900] "GET /JSPBook/FinalProject/map6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:46:45 +0900] "GET /JSPBook/FinalProject/map5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:46:45 +0900] "GET /JSPBook/FinalProject/map4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:46:45 +0900] "GET /JSPBook/FinalProject/map11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:46:45 +0900] "GET /JSPBook/FinalProject/map8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:46:45 +0900] "GET /JSPBook/FinalProject/map9.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:46:45 +0900] "GET /JSPBook/FinalProject/map12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:46:45 +0900] "GET /JSPBook/FinalProject/map10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:46:45 +0900] "GET /JSPBook/FinalProject/map13.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:47:11 +0900] "GET /JSPBook/FinalProject/root.jsp HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:47:18 +0900] "GET /JSPBook/FinalProject/festival1.jsp HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:47:25 +0900] "GET /JSPBook/FinalProject/festival2.jsp?map=%EA%B0%95%EC%9B%90%EB%8F%84 HTTP/1.1" 200 28936
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:47:25 +0900] "GET /JSPBook/FinalProject/%EA%B0%95%EC%9B%90%EB%8F%84.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:47:36 +0900] "POST /JSPBook/FinalProject/spot1.jsp HTTP/1.1" 200 3672
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:47:38 +0900] "GET /JSPBook/FinalProject/spot2.jsp?map=%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84 HTTP/1.1" 200 27520
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:47:38 +0900] "GET /JSPBook/FinalProject/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:47:44 +0900] "POST /JSPBook/FinalProject/root.jsp HTTP/1.1" 200 3787
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:47:44 +0900] "GET /JSPBook/FinalProject/spot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:16:47:44 +0900] "GET /JSPBook/FinalProject/festival.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:18:38 +0900] "GET /JSPBook/FinalProject/festival1.jsp HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:18:41 +0900] "GET /JSPBook/FinalProject/festival2.jsp?map=%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84 HTTP/1.1" 200 71589
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:23:22 +0900] "GET /JSPBook/FinalProject/festival1.jsp HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:23:27 +0900] "GET /JSPBook/FinalProject/festival2.jsp?map=%EA%B0%95%EC%9B%90%EB%8F%84 HTTP/1.1" 200 28936
0:0:0:0:0:0:0:1 - - [13/Jun/2021:18:31:34 +0900] "GET /JSPBook/FinalProject/root.jsp HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [13/Jun/2021:18:31:36 +0900] "GET /JSPBook/FinalProject/festival1.jsp HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [13/Jun/2021:18:31:37 +0900] "GET /JSPBook/FinalProject/festival2.jsp?map=%EA%B0%95%EC%9B%90%EB%8F%84 HTTP/1.1" 200 28936
0:0:0:0:0:0:0:1 - - [13/Jun/2021:18:31:42 +0900] "POST /JSPBook/FinalProject/root.jsp HTTP/1.1" 200 2820
