127.0.0.1 - - [22/May/2021:18:13:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/May/2021:18:14:02 +0900] "GET /JSPBook/week12/week12_1.html HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [22/May/2021:18:15:46 +0900] "GET /JSPBook/week12/week12_1.html HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [22/May/2021:18:15:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/May/2021:18:20:55 +0900] "GET /JSPBook/week12/week12_2.html HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [22/May/2021:18:24:15 +0900] "GET /JSPBook/week12/week12_3.html HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [22/May/2021:18:25:39 +0900] "GET /JSPBook/week12/week12_3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2021:18:26:25 +0900] "GET /JSPBook/week12/week12_3.html HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [22/May/2021:18:45:48 +0900] "GET /JSPBook/week12/week12_4.html HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [22/May/2021:18:45:49 +0900] "GET /JSPBook/week12/%EB%A7%88%EB%8F%99%EC%84%9D.jpg HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [22/May/2021:18:45:49 +0900] "GET /JSPBook/week12/%EC%86%A1%EA%B0%95%ED%98%B8.jpg HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [22/May/2021:18:45:49 +0900] "GET /JSPBook/week12/%EC%9C%A4%EC%97%AC%EC%A0%95.jpg HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [22/May/2021:18:46:11 +0900] "GET /JSPBook/week12/week12_4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2021:18:46:11 +0900] "GET /JSPBook/week12/%EB%A7%88%EB%8F%99%EC%84%9D.jpg HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [22/May/2021:18:46:11 +0900] "GET /JSPBook/week12/%EC%86%A1%EA%B0%95%ED%98%B8.jpg HTTP/1.1" 404 861
